"_report","_báo cáo"
"The country's ISO 3166 ALPHA-2 code.","Mã ISO 3166 ALPHA-2 của quốc gia này."
"The CSV format is case sensitive","Định dạng CSV phân biệt chữ hoa chữ thường"
"The currency of invoice {} ({}) is different from the currency of this dunning ({}).","Tiền tệ của hóa đơn {} ({}) khác với tiền tệ của lệnh đòi nợ này ({})."
"The current POS opening entry is outdated. Please close it and create a new one.","định khoản mở POS hiện tại đã lỗi thời. Vui lòng đóng định khoản đó và tạo định khoản mới."
"The default BOM for that item will be fetched by the system. You can also change the BOM.","Hệ thống sẽ tự động lấy BOM mặc định cho mặt hàng đó. Bạn cũng có thể thay đổi BOM."
"The difference between from time and To Time must be a multiple of Appointment","Sự khác biệt giữa từ thời gian và đến thời gian phải là bội số của cuộc hẹn"
"The document could not be correctly assigned","Tài liệu không thể được gán đúng"
"The document has been assigned to {0}","Tài liệu đã được giao cho {0}"
"The Document Type {0} must have a Status field to configure Service Level Agreement","Loại tài liệu {0} phải có trường Trạng thái để cấu hình Thỏa thuận mức dịch vụ"
"The document type selected is a child table, so the parent document type is required.","Loại tài liệu được chọn là bảng con, do đó cần có loại tài liệu cha."
"The field {0} in row {1} is not set","Trường {0} trong hàng {1} không được thiết lập"
"The field {0} is mandatory","Trường {0} là bắt buộc"
"The field Asset Account cannot be blank","Trường Tài khoản tài sản không được để trống"
"The field Equity/Liability Account cannot be blank","Trường Tài khoản vốn chủ sở hữu/nợ phải trả không được để trống"
"The field From Shareholder cannot be blank","Trường Từ cổ đông không được để trống"
"The field To Shareholder cannot be blank","Trường To Shareholder không được để trống"
"The fieldname you've specified in Attached To Field is invalid","Tên trường bạn đã chỉ định trong Trường đính kèm không hợp lệ"
"The fields From Shareholder and To Shareholder cannot be blank","Các trường Từ cổ đông và Đến cổ đông không được để trống"
"The File URL you've entered is incorrect","URL tệp bạn đã nhập không chính xác"
"The folio numbers are not matching","Số folio không khớp"
"The following {0} were created: {1}","{0} sau đây đã được tạo: {1}"
"The following assets have failed to automatically post depreciation entries: {0}","Các tài sản sau đây không tự động ghi nhận khấu hao: {0}"
"The following Assignment Days have been repeated: {0}","Các Ngày Phân công sau đây đã được lặp lại: {0}"
"The following batches are expired, please restock them: <br> {0}","Các lô hàng sau đây đã hết hạn, vui lòng bổ sung hàng: <br> {0}"
"The following deleted attributes exist in Variants but not in the Template. You can either delete the Variants or keep the attribute(s) in template.","Các thuộc tính đã xóa sau đây tồn tại trong Biến thể nhưng không có trong Biểu mẫu. Bạn có thể xóa Biến thể hoặc giữ lại các thuộc tính trong Biểu mẫu."
"The following employees are currently still reporting to {0}:","Những nhân viên sau đây hiện vẫn đang báo cáo với {0}:"
"The following Header Script will add the current date to an element in 'Header HTML' with class 'header-content'","Header Script sau đây sẽ thêm ngày hiện tại vào một phần tử trong 'Header HTML' với lớp 'header-content'"
"The following invalid Pricing Rules are deleted:","Các Quy tắc định giá không hợp lệ sau đây sẽ bị xóa:"
"The following Items, having Putaway Rules, could not be accomodated:","Các mặt hàng sau đây, có Quy định về việc cất đi, không thể được chấp nhận:"
"The following values are invalid: {0}. Values must be one of {1}","Các giá trị sau đây không hợp lệ: {0}. Các giá trị phải là một trong {1}"
"The following values do not exist for {0}: {1}","Các giá trị sau không tồn tại đối với {0}: {1}"
"The GL Entries and closing balances will be processed in the background, it can take a few minutes.","Các định khoản GL và số dư cuối kỳ sẽ được xử lý ở chế độ nền, có thể mất vài phút."
"The GL Entries will be cancelled in the background, it can take a few minutes.","Các định khoản GL sẽ bị hủy ở chế độ nền, có thể mất vài phút."
"The gross weight of the package. Usually net weight + packaging material weight. (for print)","Tổng trọng lượng của gói hàng. Thường là trọng lượng tịnh + trọng lượng vật liệu đóng gói. (đối với bản in)"
"The holiday on {0} is not between From Date and To Date","Ngày nghỉ lễ vào ngày {0} không nằm giữa Từ ngày và Đến ngày"
"The item {item} is not marked as {type_of} item. You can enable it as {type_of} item from its Item master.","mặt hàng {item} không được đánh dấu là mặt hàng {type_of}. Bạn có thể bật mặt hàng này thành mặt hàng {type_of} từ mặt hàng chính của mặt hàng."
"The items {0} and {1} are present in the following {2} :","Các mặt hàng {0} và {1} có trong {2} sau:"
"The items {items} are not marked as {type_of} item. You can enable them as {type_of} item from their Item masters.","Các mặt hàng {items} không được đánh dấu là mặt hàng {type_of}. Bạn có thể bật chúng là mặt hàng {type_of} từ mặt hàng chính của chúng."
"The job card {0} is in {1} state and you cannot complete.","Thẻ công việc {0} đang ở trạng thái {1} và bạn không thể hoàn thành."
"The job card {0} is in {1} state and you cannot start it again.","Thẻ công việc {0} đang ở trạng thái {1} và bạn không thể bắt đầu lại."
"The last scanned warehouse has been cleared and won't be set in the subsequently scanned items","Kho hàng được quét lần cuối đã được dọn sạch và sẽ không được đặt trong các mặt hàng được quét tiếp theo"
"The limit has not set for the user type {0} in the site config file.","Giới hạn chưa được đặt cho loại người dùng {0} trong tệp cấu hình trang web."
"The link will expire in {0} minutes","Liên kết sẽ hết hạn sau {0} phút"
"The link you trying to login is invalid or expired.","Liên kết bạn đang cố gắng đăng nhập không hợp lệ hoặc đã hết hạn."
"The lowest tier must have a minimum spent amount of 0. Customers need to be part of a tier as soon as they are enrolled in the program.","Mức thấp nhất phải có số tiền chi tiêu tối thiểu là 0. Khách hàng cần phải tham gia một mức ngay khi họ đăng ký chương trình."
"The Loyalty Program isn't valid for the selected company","Chương trình khách hàng thân thiết không có hiệu lực đối với công ty đã chọn"
"The meta description is an HTML attribute that provides a brief summary of a web page. Search engines such as Google often display the meta description in search results, which can influence click-through rates.","Mô tả meta là một thuộc tính HTML cung cấp tóm tắt ngắn gọn về một trang web. Các công cụ tìm kiếm như Google thường hiển thị mô tả meta trong kết quả tìm kiếm, điều này có thể ảnh hưởng đến tỷ lệ nhấp chuột."
"The meta image is unique image representing the content of the page. Images for this Card should be at least 280px in width, and at least 150px in height.","Meta image là hình ảnh duy nhất đại diện cho nội dung của trang. Hình ảnh cho Thẻ này phải có chiều rộng tối thiểu 280px và chiều cao tối thiểu 150px."
"The name that will appear in Google Calendar","Tên sẽ xuất hiện trong Lịch Google"
"The net weight of this package. (calculated automatically as sum of net weight of items)","Trọng lượng tịnh của gói hàng này. (được tính tự động bằng tổng trọng lượng tịnh của các mặt hàng)"
"The new BOM after replacement","BOM mới sau khi thay thế"
"The Next Scheduled Date cannot be later than the End Date.","Ngày dự kiến ​​tiếp theo không thể muộn hơn Ngày kết thúc."
"The next tour will start from where the user left off.","Chuyến tham quan tiếp theo sẽ bắt đầu từ nơi người dùng dừng lại."
"The number of seconds until the request expires","Số giây cho đến khi yêu cầu hết hạn"
"The number of shares and the share numbers are inconsistent","Số lượng tồn kho và số lượng tồn kho không nhất quán"
"The operation {0} can not add multiple times","Hoạt động {0} không thể thêm nhiều lần"
"The operation {0} can not be the sub operation","Hoạt động {0} không thể là hoạt động phụ"
"The original invoice should be consolidated before or along with the return invoice.","Hóa đơn gốc phải được hợp nhất trước hoặc cùng với hóa đơn trả lại."
"The parent account {0} does not exists in the uploaded template","Tài khoản cha {0} không tồn tại trong Biểu mẫu đã tải lên"
"The password of your account has expired.","Mật khẩu tài khoản của bạn đã hết hạn."
"The payment gateway account in plan {0} is different from the payment gateway account in this payment request","Tài khoản cổng thanh toán trong gói {0} khác với tài khoản cổng thanh toán trong yêu cầu thanh toán này"
"The Payment Request {0} is already paid, cannot process payment twice","Yêu cầu thanh toán {0} đã được thanh toán, không thể xử lý thanh toán hai lần"
"The Payment Term at row {0} is possibly a duplicate.","Điều khoản thanh toán ở hàng {0} có thể bị trùng lặp."
"The percentage you are allowed to bill more against the amount ordered. For example, if the order value is $100 for an item and tolerance is set as 10%, then you are allowed to bill up to $110","Tỷ lệ phần trăm bạn được phép tính thêm vào giá trị đơn hàng. Ví dụ: nếu giá trị đơn hàng là 100 đô la cho một mặt hàng và dung sai được đặt là 10%, thì bạn được phép tính thêm tối đa 110 đô la."
"The percentage you are allowed to pick more items in the pick list than the ordered quantity.","Tỷ lệ phần trăm bạn được phép chọn nhiều mặt hàng trong danh sách chọn hơn số lượng đã đặt hàng."
"The percentage you are allowed to receive or deliver more against the quantity ordered. For example, if you have ordered 100 units, and your Allowance is 10%, then you are allowed to receive 110 units.","Tỷ lệ phần trăm bạn được phép nhận hoặc giao thêm so với số lượng đã đặt hàng. Ví dụ: nếu bạn đã đặt hàng 100 đơn vị và Mức định mức của bạn là 10%, thì bạn được phép nhận 110 đơn vị."
"The percentage you are allowed to transfer more against the quantity ordered. For example, if you have ordered 100 units, and your Allowance is 10%, then you are allowed transfer 110 units.","Tỷ lệ phần trăm bạn được phép chuyển thêm so với số lượng đã đặt hàng. Ví dụ: nếu bạn đã đặt hàng 100 đơn vị và Hạn mức của bạn là 10%, thì bạn được phép chuyển thêm 110 đơn vị."
"The Pick List having Stock Reservation Entries cannot be updated. If you need to make changes, we recommend canceling the existing Stock Reservation Entries before updating the Pick List.","Danh sách Chọn có định khoản Đặt chỗ Kho không thể được cập nhật. Nếu cần thay đổi, chúng tôi khuyên bạn nên hủy định khoản Đặt chỗ Kho hiện có trước khi cập nhật Danh sách Chọn."
"The process for deletion of {0} data associated with {1} has been initiated.","Quá trình xóa dữ liệu {0} liên quan đến {1} đã được bắt đầu."
"The Process Loss Qty has reset as per job cards Process Loss Qty","Số lượng mất mát quy trình đã được đặt lại theo thẻ công việc Số lượng mất mát quy trình"
"The project number obtained from Google Cloud Console under <a href=""https://console.cloud.google.com/iam-admin/settings"">|||""IAM &amp; Admin"" &gt; ""Settings""|||</a>","Số dự án lấy từ Google Cloud Console tại <a href=""https://console.cloud.google.com/iam-admin/settings"">|||""IAM &amp; Admin"" &gt; ""Settings""|||</a>"
"The Push Relay Server URL key (`push_relay_server_url`) is missing in your site config","Khóa URL của Máy chủ chuyển tiếp đẩy (`push_relay_server_url`) bị thiếu trong cấu hình trang web của bạn"
"The report you requested has been generated.<br><br>Click here to download:<br><a href='{0}'>{0}</a><br><br>This link will expire in {1} hours.","Báo cáo bạn yêu cầu đã được tạo.<br><br>Nhấp vào đây để tải xuống:<br><a href='{0}'>{0}</a><br><br>Liên kết này sẽ hết hạn sau {1} giờ."
"The reserved stock will be released when you update items. Are you certain you wish to proceed?","Hàng tồn kho sẽ được giải phóng khi bạn cập nhật sản phẩm. Bạn có chắc chắn muốn tiếp tục không?"
"The reserved stock will be released. Are you certain you wish to proceed?","Số tồn kho dự trữ sẽ được giải phóng. Bạn có chắc chắn muốn tiếp tục không?"
"The reset password link has been expired","Liên kết đặt lại mật khẩu đã hết hạn"
"The reset password link has either been used before or is invalid","Liên kết đặt lại mật khẩu đã được sử dụng trước đó hoặc không hợp lệ"
"The resource you are looking for is not available","Tài nguyên bạn đang tìm kiếm không có sẵn"
"The role {0} should be a custom role.","Vai trò {0} phải là vai trò tùy chỉnh."
"The root account {0} must be a group","Tài khoản gốc {0} phải là một nhóm"
"The Sales Person is linked with {0}","Nhân viên bán hàng được liên kết với {0}"
"The selected BOMs are not for the same item","Các BOM đã chọn không dành cho cùng một mặt hàng"
"The selected change account {} doesn't belongs to Company {}.","Tài khoản thay đổi được chọn {} không thuộc về Công ty {}."
"The selected document {0} is not a {1}.","Tài liệu được chọn {0} không phải là {1}."
"The selected item cannot have Batch","mặt hàng đã chọn không thể có Batch"
"The seller and the buyer cannot be the same","Người bán và người mua không thể là một"
"The Serial and Batch Bundle {0} is not valid for this transaction. The 'Type of Transaction' should be 'Outward' instead of 'Inward' in Serial and Batch Bundle {0}","Gói Serial và Batch {0} không hợp lệ cho giao dịch này. 'Loại giao dịch' phải là 'Chuyển đi' thay vì 'Chuyển đến' trong Gói Serial và Batch {0}"
"The serial and batch bundle {0} not linked to {1} {2}","Gói hàng loạt và hàng loạt {0} không được liên kết với {1} {2}"
"The serial no {0} does not belong to item {1}","Số sê-ri {0} không thuộc về mặt hàng {1}"
"The Serial No {0} is reserved against the {1} {2} and cannot be used for any other transaction.","Số sê-ri {0} được dành riêng cho {1} {2} và không thể được sử dụng cho bất kỳ giao dịch nào khác."
"The Serial No at Row #{0}: {1} is not available in warehouse {2}.","Số sê-ri tại Hàng số {0}: {1} không có sẵn trong kho {2}."
"The shareholder does not belong to this company","Cổ đông không thuộc về công ty này"
"The shares already exist","Các tồn kho đã tồn tại"
"The shares don't exist with the {0}","Các tồn kho không tồn tại với {0}"
"The Stock Entry of type 'Manufacture' is known as backflush. Raw materials being consumed to manufacture finished goods is known as backflushing. <br><br> When creating Manufacture Entry, raw-material items are backflushed based on BOM of production item. If you want raw-material items to be backflushed based on Material Transfer entry made against that Work Order instead, then you can set it under this field.","bản ghi kho hàng loại 'Sản xuất' được gọi là backflush. Nguyên liệu thô được sử dụng để sản xuất thành phẩm được gọi là backflush. <br><br> Khi tạo định khoản Sản xuất, các mặt hàng nguyên liệu thô sẽ được backflush dựa trên BOM của mặt hàng sản xuất. Nếu bạn muốn các mặt hàng nguyên liệu thô được backflush dựa trên định khoản Chuyển giao Vật liệu được thực hiện theo Lệnh Công tác đó, bạn có thể đặt định khoản vào trường này."
"The stock for the item {0} in the {1} warehouse was negative on the {2}. You should create a positive entry {3} before the date {4} and time {5} to post the correct valuation rate. For more details, please read the <a href='https://docs.erpnext.com/docs/user/manual/en/stock-adjustment-cogs-with-negative-stock'>documentation<a>.","Số dư của mặt hàng {0} trong kho {1} bị âm vào ngày {2}. Bạn nên tạo một định khoản dương {3} trước ngày {4} và giờ {5} để ghi nhận tỷ lệ định giá chính xác. Để biết thêm chi tiết, vui lòng đọc <a href='https://docs.erpnext.com/docs/user/manual/en/stock-adjustment-cogs-with-negative-stock'>tài liệu<a>."
"The stock has been reserved for the following Items and Warehouses, un-reserve the same to {0} the Stock Reconciliation: <br /><br /> {1}","Hàng tồn kho đã được dành riêng cho các Mặt hàng và Kho sau, hãy hủy dành riêng cho {0} Đối chiếu hàng tồn kho: <br /><br /> {1}"
"The sync has started in the background, please check the {0} list for new records.","Quá trình đồng bộ đã bắt đầu ở chế độ nền, vui lòng kiểm tra danh sách {0} để biết các bản ghi mới."
"The system is being updated. Please refresh again after a few moments.","Hệ thống đang được cập nhật. Vui lòng tải lại sau vài phút."
"The system provides many pre-defined roles. You can add new roles to set finer permissions.","Hệ thống cung cấp nhiều vai trò được xác định trước. Bạn có thể thêm vai trò mới để thiết lập quyền chi tiết hơn."
"The system will create a Sales Invoice or a POS Invoice from the POS interface based on this setting. For high-volume transactions, it is recommended to use POS Invoice.","Hệ thống sẽ tạo Hóa đơn Bán hàng hoặc Hóa đơn POS từ giao diện POS dựa trên thiết lập này. Đối với các giao dịch khối lượng lớn, khuyến nghị sử dụng Hóa đơn POS."
"The task has been enqueued as a background job.","Nhiệm vụ đã được xếp hàng chờ xử lý như một công việc nền."
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Nhiệm vụ đã được xếp hàng chờ xử lý nền. Trong trường hợp có bất kỳ sự cố nào xảy ra khi xử lý nền, hệ thống sẽ thêm bình luận về lỗi vào mặt hàng Đối chiếu Kho này và quay lại giai đoạn Dự thảo."
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Submitted stage","Nhiệm vụ đã được xếp hàng chờ xử lý nền. Trong trường hợp có bất kỳ sự cố nào xảy ra khi xử lý nền, hệ thống sẽ thêm bình luận về lỗi vào mặt hàng Đối chiếu Kho này và quay lại giai đoạn Đã ghi sổ."
"The total Issue / Transfer quantity {0} in Material Request {1}  cannot be greater than allowed requested quantity {2} for Item {3}","Tổng số lượng Phát hành / Chuyển giao {0} trong Yêu cầu Vật liệu {1} không thể lớn hơn số lượng được yêu cầu {2} cho mặt hàng {3}"
"The total Issue / Transfer quantity {0} in Material Request {1} cannot be greater than requested quantity {2} for Item {3}","Tổng số lượng Phát hành / Chuyển giao {0} trong Yêu cầu Vật liệu {1} không thể lớn hơn số lượng yêu cầu {2} cho mặt hàng {3}"
"The total number of user document types limit has been crossed.","Đã vượt quá giới hạn tổng số loại tài liệu người dùng."
"The uploaded file does not appear to be in valid MT940 format.","Tệp đã tải lên có vẻ không ở định dạng MT940 hợp lệ."
"The uploaded file does not match the selected Code List.","Tệp đã tải lên không khớp với Danh sách mã đã chọn."
"The user cannot submit the Serial and Batch Bundle manually","Người dùng không thể ghi sổ Serial và Batch Bundle theo cách thủ công"
"The User record for this request has been auto-deleted due to inactivity by system admins.","Hồ sơ người dùng cho yêu cầu này đã bị xóa tự động do quản trị viên hệ thống không hoạt động."
"The user will be able to transfer additional materials from the store to the Work in Progress (WIP) warehouse.","Người dùng có thể chuyển thêm vật liệu từ kho sang kho Đang thực hiện (WIP)."
"The users with this Role are allowed to create/modify a stock transaction, even though the transaction is frozen.","Người dùng có Quyền này được phép tạo/sửa đổi giao dịch kho, ngay cả khi giao dịch bị phong tỏa (dừng hoạt động)."
"The value {0} is already assigned to an existing Item {1}.","Giá trị {0} đã được gán cho một mặt hàng {1} hiện có."
"The value of {0} differs between Items {1} and {2}","Giá trị của {0} khác nhau giữa các mặt hàng {1} và {2}"
"The value you pasted was {0} characters long. Max allowed characters is {1}.","Giá trị bạn dán có độ dài {0} ký tự. Số ký tự tối đa được phép là {1}."
"The warehouse where you store finished Items before they are shipped.","Kho hàng nơi bạn lưu trữ các mặt hàng đã hoàn thiện trước khi chúng được vận chuyển."
"The warehouse where you store your raw materials. Each required item can have a separate source warehouse. Group warehouse also can be selected as source warehouse. On submission of the Work Order, the raw materials will be reserved in these warehouses for production usage.","Kho chứa nguyên vật liệu thô. Mỗi mặt hàng cần thiết có thể có một kho nguyên vật liệu riêng. Kho nhóm cũng có thể được chọn làm kho nguyên vật liệu thô. Khi Lệnh Sản Xuất được ghi sổ, nguyên vật liệu thô sẽ được dự trữ trong các kho này để sử dụng cho sản xuất."
"The warehouse where your Items will be transferred when you begin production. Group Warehouse can also be selected as a Work in Progress warehouse.","Kho nơi Sản phẩm của bạn sẽ được chuyển đến khi bạn bắt đầu sản xuất. Kho Nhóm cũng có thể được chọn làm kho Đang Sản Xuất."
"The webhook will be triggered if this expression is true","Webhook sẽ được kích hoạt nếu biểu thức này đúng"
"The Work Order is mandatory for Disassembly Order","Lệnh làm việc là bắt buộc đối với Lệnh tháo rời"
"Theme","Chủ đề"
"Theme Changed","Chủ đề đã thay đổi"
"Theme Configuration","Cấu hình chủ đề"
"Theme URL","URL chủ đề"
"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type","Sau đó, Quy tắc định giá được lọc ra dựa trên Khách hàng, Nhóm khách hàng, Lãnh thổ, Nhà cung cấp, Loại nhà cung cấp"
"There are {0} with the same filters already in the queue:","Có {0} bộ lọc giống nhau đã có trong hàng đợi:"
"There are active maintenance or repairs against the asset. You must complete all of them before cancelling the asset.","Tài sản đang trong quá trình bảo trì hoặc sửa chữa. Bạn phải hoàn tất tất cả các công việc này trước khi hủy tài sản."
"There are documents which have workflow states that do not exist in this Workflow. It is recommended that you add these states to the Workflow and change their states before removing these states.","Có những tài liệu có trạng thái quy trình làm việc không tồn tại trong Quy trình làm việc này. Bạn nên thêm các trạng thái này vào Quy trình làm việc và thay đổi trạng thái của chúng trước khi xóa chúng."
"There are inconsistencies between the rate, no of shares and the amount calculated","Có sự không nhất quán giữa tỷ lệ, số lượng tồn kho và số tiền được tính toán"
"There are ledger entries against this account. Changing {0} to non-{1} in live system will cause incorrect output in 'Accounts {2}' report","Có các định khoản sổ cái đối với tài khoản này. Việc thay đổi {0} thành non-{1} trong hệ thống đang hoạt động sẽ khiến kết quả đầu ra trong báo cáo 'Tài khoản {2}' không chính xác."
"There are no {0} for this {1}, why don't you start one!","Không có {0} nào cho {1} này, tại sao bạn không bắt đầu một cái!"
"There are no active Fiscal Years for which Demo Data can be generated.","Không có Năm tài chính nào đang hoạt động để có thể tạo Dữ liệu demo."
"There are no Failed transactions","Không có giao dịch nào thất bại"
"There are no slots available on this date","Không có chỗ trống vào ngày này"
"There are no upcoming events for you.","Không có sự kiện sắp tới nào dành cho bạn."
"There are two options to maintain valuation of stock. FIFO (first in - first out) and Moving Average. To understand this topic in detail please visit <a href='https://docs.erpnext.com/docs/v13/user/manual/en/stock/articles/item-valuation-fifo-and-moving-average' target='_blank'>Item Valuation, FIFO and Moving Average.</a>","Có hai phương pháp để duy trì định giá hàng tồn kho: FIFO (nhập trước - xuất trước) và Trung bình động. Để hiểu rõ hơn về chủ đề này, vui lòng truy cập <a href='https://docs.erpnext.com/docs/v13/user/manual/en/stock/articles/item-valuation-fifo-and-moving-average' target='_blank'>Định giá mặt hàng, FIFO và Trung bình động.</a>"
"There aren't any item variants for the selected item","Không có bất kỳ biến thể mặt hàng nào cho mặt hàng đã chọn"
"There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.","Có thể có nhiều hệ số tích lũy dựa trên tổng số tiền đã chi tiêu. Tuy nhiên, hệ số quy đổi để đổi quà sẽ luôn giống nhau cho tất cả các cấp."
"There can be only 9 Page Break fields in a Web Form","Chỉ có thể có 9 trường Ngắt trang trong một Biểu Biểu mẫu Web"
"There can be only one Fold in a form","Chỉ có thể có một Fold trong một biểu Biểu mẫu"
"There can only be 1 Account per Company in {0} {1}","Chỉ có thể có 1 Tài khoản cho mỗi Công ty trong {0} {1}"
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""","Chỉ có thể có một Điều kiện Quy tắc Vận chuyển có giá trị 0 hoặc để trống cho ""Giá trị"""
"There is {0} with the same filters already in the queue:","Đã có {0} với các bộ lọc tương tự trong hàng đợi:"
"There is already a valid Lower Deduction Certificate {0} for Supplier {1} against category {2} for this time period.","Đã có Giấy chứng nhận khấu trừ thấp hơn hợp lệ {0} cho Nhà cung cấp {1} theo danh mặt hàng {2} trong khoảng thời gian này."
"There is already an active Subcontracting BOM {0} for the Finished Good {1}.","Đã có BOM thầu phụ {0} đang hoạt động cho Thành phẩm {1}."
"There is an error in your Address Template {0}","Có lỗi trong Biểu mẫu Địa chỉ của bạn {0}"
"There is no batch found against the {0}: {1}","Không tìm thấy lô nào đối với {0}: {1}"
"There is no data to be exported","Không có dữ liệu nào để xuất"
"There is no task called ""{}""","Không có tác vụ nào được gọi là ""{}"""
"There is nothing new to show you right now.","Hiện tại không có gì mới để cho bạn xem."
"There is some problem with the file url: {0}","Có một số vấn đề với url tệp: {0}"
"There must be atleast 1 Finished Good in this Stock Entry","Phải có ít nhất 1 Hàng thành phẩm trong bản ghi kho hàng này"
"There must be atleast one permission rule.","Phải có ít nhất một quy tắc cấp phép."
"There was an error building this page","Đã xảy ra lỗi khi xây dựng trang này"
"There was an error creating Bank Account while linking with Plaid.","Đã xảy ra lỗi khi tạo Tài khoản ngân hàng khi liên kết với Plaid."
"There was an error saving filters","Đã xảy ra lỗi khi lưu bộ lọc"
"There was an error syncing transactions.","Đã xảy ra lỗi khi đồng bộ hóa giao dịch."
"There was an error updating Bank Account {} while linking with Plaid.","Đã xảy ra lỗi khi cập nhật Tài khoản ngân hàng {} trong khi liên kết với Plaid."
"There was an issue connecting to Plaid's authentication server. Check browser console for more information","Đã xảy ra sự cố khi kết nối với máy chủ xác thực của Plaid. Vui lòng kiểm tra trình điều khiển trình duyệt để biết thêm thông tin."
"There were errors","Có lỗi"
"There were errors while creating the document. Please try again.","Đã xảy ra lỗi khi tạo tài liệu. Vui lòng thử lại."
"There were errors while sending email. Please try again.","Có lỗi khi ghi sổ email. Vui lòng thử lại."
"There were issues unlinking payment entry {0}.","Đã xảy ra sự cố khi hủy liên kết mặt hàng thanh toán {0}."
"There were some errors setting the name, please contact the administrator","Có một số lỗi khi đặt tên, vui lòng liên hệ với quản trị viên"
"These announcements will appear inside a dismissible alert below the Navbar.","Những thông báo này sẽ xuất hiện bên trong cảnh báo có thể bỏ qua bên dưới Thanh điều hướng."
"These fields are used to provide resource server metadata to clients querying the ""well known protected resource"" end point.","Các trường này được sử dụng để cung cấp siêu dữ liệu máy chủ tài nguyên cho các máy khách truy vấn điểm cuối ""tài nguyên được bảo vệ nổi tiếng""."
"These settings are required if 'Custom' LDAP Directory is used","Những thiết lập này là bắt buộc nếu sử dụng Thư mặt hàng LDAP 'Tùy chỉnh'"
"These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.","Các giá trị này sẽ được tự động cập nhật trong các giao dịch và cũng hữu ích để hạn chế quyền của người dùng này đối với các giao dịch có chứa các giá trị này."
"Third Party Apps","Ứng dụng của bên thứ ba"
"Third Party Authentication","Xác thực của bên thứ ba"
"This {} will be treated as material transfer.","{} này sẽ được coi là chuyển giao vật liệu."
"This Account has '0' balance in either Base Currency or Account Currency","Tài khoản này có số dư '0' theo Tiền tệ cơ sở hoặc Tiền tệ tài khoản"
"This action is irreversible. Do you wish to continue?","Hành động này không thể đảo ngược. Bạn có muốn tiếp tục không?"
"This action is only allowed for {}","Hành động này chỉ được phép đối với {}"
"This action will stop future billing. Are you sure you want to cancel this subscription?","Thao tác này sẽ dừng việc thanh toán trong tương lai. Bạn có chắc chắn muốn hủy đăng ký này không?"
"This action will unlink this account from any external service integrating ERPNext with your bank accounts. It cannot be undone. Are you certain ?","Thao tác này sẽ hủy liên kết tài khoản này khỏi bất kỳ dịch vụ bên ngoài nào tích hợp ERPNext với tài khoản ngân hàng của bạn. Không thể hoàn tác. Bạn có chắc chắn không?"
"This asset category is marked as non-depreciable. Please disable depreciation calculation or choose a different category.","Loại tài sản này được đánh dấu là không khấu hao. Vui lòng tắt tính toán khấu hao hoặc chọn một loại khác."
"This cannot be undone","Điều này không thể hoàn tác được"
"This card is visible only to Administrator and System Managers by default. Set a DocType to share with users who have read access.","Theo mặc định, thẻ này chỉ hiển thị cho Quản trị viên và Quản trị viên Hệ thống. Hãy đặt DocType để chia sẻ với người dùng có quyền đọc."
"This card will be available to all Users if this is set","Thẻ này sẽ có sẵn cho tất cả Người dùng nếu điều này được thiết lập"
"This chart will be available to all Users if this is set","Biểu đồ này sẽ có sẵn cho tất cả Người dùng nếu điều này được thiết lập"
"This covers all scorecards tied to this Setup","Điều này bao gồm tất cả các bảng điểm được liên kết với Thiết lập này"
"This Currency is disabled. Enable to use in transactions","Tiền tệ này đã bị vô hiệu hóa. Cho phép sử dụng trong giao dịch"
"This doctype has no orphan fields to trim","Loại tài liệu này không có trường mồ côi nào để cắt bớt"
"This doctype has pending migrations, run 'bench migrate' before modifying the doctype to avoid losing changes.","Loại tài liệu này có các bản di chuyển đang chờ xử lý, hãy chạy 'bench migrate' trước khi sửa đổi loại tài liệu để tránh mất các thay đổi."
"This document can not be deleted right now as it's being modified by another user. Please try again after some time.","Không thể xóa tài liệu này ngay bây giờ vì nó đang được người dùng khác chỉnh sửa. Vui lòng thử lại sau một thời gian."
"This document has already been queued for submission. You can track the progress over {0}.","Tài liệu này đã được xếp hàng để ghi sổ. Bạn có thể theo dõi tiến độ qua {0}."
"This document has been modified after the email was sent.","Tài liệu này đã được sửa đổi sau khi email được ghi sổ."
"This document has unsaved changes which might not appear in final PDF. <br> Consider saving the document before printing.","Tài liệu này có những thay đổi chưa được lưu và có thể không xuất hiện trong bản PDF cuối cùng. <br> Hãy cân nhắc lưu tài liệu trước khi in."
"This document is already amended, you cannot ammend it again","Tài liệu này đã được sửa đổi, bạn không thể sửa đổi lại nữa"
"This document is currently locked and queued for execution. Please try again after some time.","Tài liệu này hiện đang bị khóa và đang chờ thực thi. Vui lòng thử lại sau một thời gian."
"This document is over limit by {0} {1} for item {4}. Are you making another {3} against the same {2}?","Tài liệu này đã vượt quá giới hạn {0} {1} cho mặt hàng {4}. Bạn có đang tạo một {3} khác cho cùng mặt hàng {2} đó không?"
